Date,DELL
2020-12-30,72.5000
2020-12-31,73.2900
2021-01-04,72.4900
2021-01-05,73.4600
2021-01-06,74.0700
2021-01-07,76.3400
2021-01-08,77.2200
2021-01-11,75.6300
2021-01-12,76.7500
2021-01-13,71.2300
2021-01-14,73.2500
2021-01-15,74.2600
2021-01-19,74.8600
2021-01-20,77.0500
2021-01-21,76.9000
2021-01-22,75.9400
2021-01-25,75.6800
2021-01-26,76.0400
2021-01-27,73.8600
2021-01-28,73.9200
2021-01-29,72.8900
2021-02-01,73.9500
2021-02-02,77.1700
2021-02-03,77.7500
2021-02-04,79.3100
2021-02-05,79.6100
2021-02-08,79.9400
2021-02-09,79.5900
2021-02-10,79.5800
2021-02-11,79.5000
2021-02-12,80.0500
2021-02-16,79.4400
2021-02-17,79.2600
2021-02-18,79.6900
2021-02-19,80.7700
2021-02-22,80.7700
2021-02-23,80.5600
2021-02-24,81.6900
2021-02-25,79.6800
2021-02-26,81.0700
2021-03-01,83.0900
2021-03-02,82.7100
2021-03-03,83.6000
2021-03-04,82.8000
2021-03-05,85.3500
2021-03-08,85.1100
2021-03-09,86.4900
2021-03-10,87.6800
2021-03-11,88.6200
2021-03-12,88.8200
2021-03-15,89.3000
2021-03-16,89.0800
2021-03-17,91.2800
2021-03-18,88.1100
2021-03-19,87.6300
2021-03-22,87.3500
2021-03-23,85.7500
2021-03-24,86.3500
2021-03-25,85.9900
2021-03-26,88.9900
2021-03-29,88.2100
2021-03-30,88.5900
2021-03-31,88.1500
2021-04-01,89.0800
2021-04-05,89.3600
2021-04-06,89.4800
2021-04-07,91.5100
2021-04-08,92.5800
2021-04-09,93.8800
2021-04-12,93.4500
2021-04-13,92.5300
2021-04-14,92.7000
2021-04-15,98.9200
2021-04-16,101.4200
2021-04-19,103.4200
2021-04-20,101.4800
2021-04-21,101.4100
2021-04-22,100.4900
2021-04-23,101.4100
2021-04-26,100.3800
2021-04-27,100.7100
2021-04-28,99.4200
2021-04-29,100.0000
2021-04-30,98.3300
2021-05-03,97.7800
2021-05-04,96.5200
2021-05-05,98.4000
2021-05-06,99.7700
2021-05-07,101.0600
2021-05-10,99.6800
2021-05-11,97.8200
2021-05-12,94.0900
2021-05-13,96.4000
2021-05-14,98.4300
2021-05-17,98.3900
2021-05-18,98.1500
2021-05-19,96.8000
2021-05-20,98.6100
2021-05-21,98.4700
2021-05-24,100.1400
2021-05-25,99.5100
2021-05-26,99.6600
2021-05-27,99.7000
2021-05-28,98.6400
2021-06-01,102.8500
2021-06-02,100.7900
2021-06-03,101.6600
2021-06-04,103.5300
2021-06-07,102.8400
2021-06-08,103.9100
2021-06-09,103.9600
2021-06-10,103.7900
2021-06-11,103.9800
2021-06-14,102.7400
2021-06-15,102.8600
2021-06-16,102.7500
2021-06-17,99.6500
2021-06-18,98.5700
2021-06-21,100.0000
2021-06-22,99.7600
2021-06-23,99.2200
2021-06-24,99.0800
2021-06-25,99.5000
2021-06-28,99.7500
2021-06-29,102.2000
2021-06-30,99.6700
2021-07-01,98.6900
2021-07-02,99.3700
2021-07-06,98.3700
2021-07-07,99.4900
